[2025-09-21 16:55:39.696] [INFO ] [T021] [FileSyncService] 获取FastCopy并发许可，开始复制: C1724.MP4
[2025-09-21 16:55:40.921] [INFO ] [T021] [FileSyncService] 释放FastCopy并发许可: C1721.MP4
[2025-09-21 16:55:40.921] [INFO ] [T022] [FileSyncService] 释放FastCopy并发许可: C1721.MP4
[2025-09-21 16:55:40.921] [INFO ] [T022] [FileSyncService] 文件处理完成，清理锁: C1721.MP4
[2025-09-21 16:55:41.180] [INFO ] [T017] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1727.MP4
[2025-09-21 16:55:41.188] [INFO ] [T017] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:41.191] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: C1728.MP4
[2025-09-21 16:55:41.191] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1728.MP4
[2025-09-21 16:55:41.366] [INFO ] [T004] [FileSyncService] 文件写入已完成，准备同步: C1725.MP4
[2025-09-21 16:55:41.366] [INFO ] [T022] [FileSyncService] 获取FastCopy并发许可，开始复制: C1725.MP4
[2025-09-21 16:55:42.212] [WARN ] [T023] [FileSyncService] 文件写入未完成，跳过同步: 主机位
[2025-09-21 16:55:42.511] [INFO ] [T019] [FileSyncService] 释放FastCopy并发许可: C1724.MP4
[2025-09-21 16:55:42.511] [INFO ] [T019] [FileSyncService] 文件处理完成，清理锁: C1724.MP4
[2025-09-21 16:55:42.813] [INFO ] [T019] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1728.MP4
[2025-09-21 16:55:42.817] [INFO ] [T007] [FileSyncService] 文件写入已完成，准备同步: C1726.MP4
[2025-09-21 16:55:42.817] [INFO ] [T023] [FileSyncService] 文件写入已完成，准备同步: C1726.MP4
[2025-09-21 16:55:42.817] [INFO ] [T023] [FileSyncService] 获取FastCopy并发许可，开始复制: C1726.MP4
[2025-09-21 16:55:42.817] [INFO ] [T007] [FileSyncService] 获取FastCopy并发许可，开始复制: C1726.MP4
[2025-09-21 16:55:42.820] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: 主机位
[2025-09-21 16:55:42.823] [INFO ] [T020] [FileSyncService] 检测到文件变化，等待写入完成: C1729.MP4
